User_ID,Stage_Order,Stage_Name,Stage_Date,ID_Date,Avg_Feature_A_Usage,Avg_Feature_B_Usage,Avg_Feature_C_Usage
50,1,Page View,2025-02-17,20250217,72.99,20.12,31.17
51,1,Page View,2025-03-26,20250326,99.51,64.99,43.81
52,1,Page View,2025-02-03,20250203,51.76,12.1,22.47
53,1,Page View,2025-03-08,20250308,33.81,58.83,23.01
53,2,CTA Click,2025-03-10,20250310,33.81,58.83,23.01
54,1,Page View,2025-03-24,20250324,22.02,7.1,63.11
55,1,Page View,2025-03-04,20250304,22.89,90.54,85.96
55,2,CTA Click,2025-03-07,20250307,22.89,90.54,85.96
55,3,Signup,2025-03-11,20250311,22.89,90.54,85.96
56,1,Page View,2025-03-17,20250317,7.09,23.8,66.9
57,1,Page View,2025-01-13,20250113,21.42,13.23,93.55
58,1,Page View,2025-01-01,20250101,57.1,47.27,78.46
59,1,Page View,2025-01-30,20250130,80.75,19.04,9.69
60,1,Page View,2025-03-28,20250328,43.11,42.36,46.7
61,1,Page View,2025-01-22,20250122,72.91,67.34,98.42
62,1,Page View,2025-03-22,20250322,9.84,40.26,33.93
63,1,Page View,2025-01-01,20250101,86.17,24.87,19.02
64,1,Page View,2025-02-27,20250227,44.86,42.19,27.85
65,1,Page View,2025-01-11,20250111,24.98,92.33,44.31
66,1,Page View,2025-01-27,20250127,86.13,55.03,5.06
67,1,Page View,2025-01-26,20250126,99.93,83.6,96.9
67,2,CTA Click,2025-02-02,20250202,99.93,83.6,96.9
67,3,Signup,2025-02-05,20250205,99.93,83.6,96.9
68,1,Page View,2025-03-29,20250329,92.64,84.87,16.63
68,2,CTA Click,2025-03-31,20250331,92.64,84.87,16.63
69,1,Page View,2025-03-12,20250312,48.56,21.37,40.1
70,1,Page View,2025-01-29,20250129,5.86,37.9,98.53
71,1,Page View,2025-03-13,20250313,26.52,78.41,45.5
72,1,Page View,2025-02-25,20250225,42.3,95.73,99.54
72,2,CTA Click,2025-03-04,20250304,42.3,95.73,99.54
73,1,Page View,2025-03-03,20250303,55.58,71.84,15.48
74,1,Page View,2025-03-07,20250307,29.67,96.87,57.92
74,2,CTA Click,2025-03-11,20250311,29.67,96.87,57.92
74,3,Signup,2025-03-14,20250314,29.67,96.87,57.92
75,1,Page View,2025-01-18,20250118,54.22,74.8,5.72
75,2,CTA Click,2025-01-21,20250121,54.22,74.8,5.72
75,3,Signup,2025-01-25,20250125,54.22,74.8,5.72
76,1,Page View,2025-02-24,20250224,58.42,50.29,85.27
76,2,CTA Click,2025-03-03,20250303,58.42,50.29,85.27
77,1,Page View,2025-01-22,20250122,15.74,96.08,8.01
78,1,Page View,2025-01-30,20250130,18.58,59.5,67.52
78,2,CTA Click,2025-02-04,20250204,18.58,59.5,67.52
79,1,Page View,2025-02-15,20250215,23.52,11.99,89.03
80,1,Page View,2025-03-26,20250326,24.62,59.45,61.94
81,1,Page View,2025-03-02,20250302,41.92,58.37,52.28
82,1,Page View,2025-02-18,20250218,93.47,20.43,71.62
82,2,CTA Click,2025-02-20,20250220,93.47,20.43,71.62
82,3,Signup,2025-02-25,20250225,93.47,20.43,71.62
83,1,Page View,2025-01-15,20250115,23.87,39.58,67.17
83,2,CTA Click,2025-01-17,20250117,23.87,39.58,67.17
83,3,Signup,2025-01-21,20250121,23.87,39.58,67.17
84,1,Page View,2025-03-25,20250325,30.0,31.62,75.19
85,1,Page View,2025-02-17,20250217,7.25,45.83,99.85
85,2,CTA Click,2025-02-21,20250221,7.25,45.83,99.85
86,1,Page View,2025-01-01,20250101,99.61,7.33,21.32
87,1,Page View,2025-03-17,20250317,26.52,93.33,88.09
88,1,Page View,2025-02-17,20250217,87.93,36.95,15.77
88,2,CTA Click,2025-02-24,20250224,87.93,36.95,15.77
89,1,Page View,2025-02-11,20250211,83.37,70.35,61.17
90,1,Page View,2025-02-07,20250207,98.72,65.4,0.78
90,2,CTA Click,2025-02-08,20250208,98.72,65.4,0.78
90,3,Signup,2025-02-13,20250213,98.72,65.4,0.78
90,4,First Data Connection,2025-02-20,20250220,98.72,65.4,0.78
90,5,First Dashboard Created,2025-02-21,20250221,98.72,65.4,0.78
90,6,Features Engagement,2025-03-01,20250301,98.72,65.4,0.78
91,1,Page View,2025-03-02,20250302,81.71,29.94,66.34
92,1,Page View,2025-03-27,20250327,93.89,13.43,11.54
93,1,Page View,2025-02-07,20250207,10.7,55.32,27.23
94,1,Page View,2025-01-07,20250107,60.48,71.76,20.36
95,1,Page View,2025-01-29,20250129,63.42,26.4,48.85
96,1,Page View,2025-02-02,20250202,90.53,84.61,9.23
97,1,Page View,2025-03-29,20250329,42.36,27.67,0.35
98,1,Page View,2025-01-17,20250117,77.11,63.71,26.2
98,2,CTA Click,2025-01-24,20250124,77.11,63.71,26.2
99,1,Page View,2025-01-13,20250113,74.12,55.17,42.77
100,1,Page View,2025-01-17,20250117,0.97,7.52,88.31
101,1,Page View,2025-03-18,20250318,90.39,54.56,83.46
101,2,CTA Click,2025-03-20,20250320,90.39,54.56,83.46
102,1,Page View,2025-03-02,20250302,58.25,14.81,12.74
102,2,CTA Click,2025-03-04,20250304,58.25,14.81,12.74
103,1,Page View,2025-01-02,20250102,30.83,89.9,79.61
104,1,Page View,2025-02-06,20250206,86.07,89.89,21.01
105,1,Page View,2025-03-10,20250310,24.95,10.28,78.01
106,1,Page View,2025-03-03,20250303,88.41,40.64,62.07
107,1,Page View,2025-01-10,20250110,15.46,92.99,86.46
108,1,Page View,2025-02-28,20250228,97.62,81.08,88.14
109,1,Page View,2025-03-29,20250329,2.48,73.66,33.22
110,1,Page View,2025-01-12,20250112,93.08,80.22,86.41
110,2,CTA Click,2025-01-15,20250115,93.08,80.22,86.41
111,1,Page View,2025-03-01,20250301,81.07,26.68,78.74
112,1,Page View,2025-01-20,20250120,10.81,87.22,85.86
112,2,CTA Click,2025-01-24,20250124,10.81,87.22,85.86
113,1,Page View,2025-02-18,20250218,22.24,81.66,46.03
114,1,Page View,2025-01-01,20250101,30.52,79.53,22.76
115,1,Page View,2025-03-23,20250323,2.37,19.31,32.83
115,2,CTA Click,2025-03-28,20250328,2.37,19.31,32.83
115,3,Signup,2025-03-30,20250330,2.37,19.31,32.83
116,1,Page View,2025-03-12,20250312,86.44,96.69,27.91
117,1,Page View,2025-02-14,20250214,64.15,39.97,98.11
118,1,Page View,2025-01-10,20250110,53.62,93.92,11.53
119,1,Page View,2025-03-24,20250324,97.04,17.86,96.25
119,2,CTA Click,2025-03-28,20250328,97.04,17.86,96.25
119,3,Signup,2025-04-04,20250404,97.04,17.86,96.25
120,1,Page View,2025-03-15,20250315,26.55,10.84,43.46
121,1,Page View,2025-03-06,20250306,72.85,31.37,60.62
121,2,CTA Click,2025-03-12,20250312,72.85,31.37,60.62
121,3,Signup,2025-03-16,20250316,72.85,31.37,60.62
122,1,Page View,2025-03-13,20250313,51.14,38.52,57.66
123,1,Page View,2025-01-18,20250118,25.47,70.88,0.17
123,2,CTA Click,2025-01-20,20250120,25.47,70.88,0.17
124,1,Page View,2025-02-07,20250207,92.56,53.85,71.94
125,1,Page View,2025-03-04,20250304,74.2,67.06,36.42
125,2,CTA Click,2025-03-12,20250312,74.2,67.06,36.42
126,1,Page View,2025-01-06,20250106,7.0,66.42,33.02
127,1,Page View,2025-03-30,20250330,31.39,84.8,71.98
128,1,Page View,2025-03-07,20250307,30.03,30.93,40.84
128,2,CTA Click,2025-03-12,20250312,30.03,30.93,40.84
129,1,Page View,2025-03-01,20250301,40.24,29.57,12.73
129,2,CTA Click,2025-03-02,20250302,40.24,29.57,12.73
130,1,Page View,2025-02-09,20250209,42.04,94.04,67.73
131,1,Page View,2025-03-05,20250305,90.28,61.55,30.09
132,1,Page View,2025-03-07,20250307,54.79,0.04,28.69
132,2,CTA Click,2025-03-13,20250313,54.79,0.04,28.69
133,1,Page View,2025-03-07,20250307,42.99,58.0,65.47
134,1,Page View,2025-03-08,20250308,46.5,44.22,21.37
135,1,Page View,2025-03-06,20250306,47.32,90.12,79.6
136,1,Page View,2025-03-06,20250306,16.97,8.48,51.55
137,1,Page View,2025-03-23,20250323,63.29,33.52,81.84
138,1,Page View,2025-03-01,20250301,75.11,67.28,22.46
138,2,CTA Click,2025-03-02,20250302,75.11,67.28,22.46
138,3,Signup,2025-03-08,20250308,75.11,67.28,22.46
139,1,Page View,2025-03-26,20250326,19.91,2.44,24.48
139,2,CTA Click,2025-03-28,20250328,19.91,2.44,24.48
139,3,Signup,2025-04-05,20250405,19.91,2.44,24.48
140,1,Page View,2025-01-28,20250128,47.51,84.97,7.28
141,1,Page View,2025-03-04,20250304,41.44,62.98,19.44
142,1,Page View,2025-01-08,20250108,69.64,49.44,24.4
142,2,CTA Click,2025-01-13,20250113,69.64,49.44,24.4
143,1,Page View,2025-03-25,20250325,65.61,0.55,75.1
144,1,Page View,2025-02-18,20250218,77.0,10.66,42.51
145,1,Page View,2025-02-09,20250209,17.59,95.8,51.8
146,1,Page View,2025-01-01,20250101,5.02,24.92,84.83
147,1,Page View,2025-03-02,20250302,45.65,80.14,66.76
147,2,CTA Click,2025-03-08,20250308,45.65,80.14,66.76
148,1,Page View,2025-03-07,20250307,98.79,59.55,95.0
149,1,Page View,2025-01-06,20250106,89.14,61.27,71.93
150,1,Page View,2025-02-02,20250202,50.48,83.06,54.79
150,2,CTA Click,2025-02-08,20250208,50.48,83.06,54.79
151,1,Page View,2025-02-05,20250205,89.72,74.37,47.47
151,2,CTA Click,2025-02-11,20250211,89.72,74.37,47.47
152,1,Page View,2025-01-22,20250122,25.92,24.72,63.77
152,2,CTA Click,2025-01-24,20250124,25.92,24.72,63.77
153,1,Page View,2025-01-29,20250129,76.58,52.13,62.67
153,2,CTA Click,2025-02-04,20250204,76.58,52.13,62.67
153,3,Signup,2025-02-07,20250207,76.58,52.13,62.67
153,4,First Data Connection,2025-02-08,20250208,76.58,52.13,62.67
153,5,First Dashboard Created,2025-02-12,20250212,76.58,52.13,62.67
153,6,Features Engagement,2025-02-20,20250220,76.58,52.13,62.67
154,1,Page View,2025-01-19,20250119,27.46,7.75,28.57
155,1,Page View,2025-03-22,20250322,27.17,31.97,54.02
156,1,Page View,2025-01-11,20250111,13.84,23.13,69.39
156,2,CTA Click,2025-01-19,20250119,13.84,23.13,69.39
157,1,Page View,2025-02-27,20250227,70.64,6.42,40.76
157,2,CTA Click,2025-02-28,20250228,70.64,6.42,40.76
158,1,Page View,2025-02-18,20250218,54.26,41.58,20.68
159,1,Page View,2025-03-13,20250313,42.01,90.48,58.41
160,1,Page View,2025-03-23,20250323,69.55,85.67,76.56
160,2,CTA Click,2025-03-29,20250329,69.55,85.67,76.56
160,3,Signup,2025-04-03,20250403,69.55,85.67,76.56
160,4,First Data Connection,2025-04-10,20250410,69.55,85.67,76.56
161,1,Page View,2025-03-05,20250305,38.04,0.59,35.18
162,1,Page View,2025-02-18,20250218,75.35,85.34,95.34
162,2,CTA Click,2025-02-23,20250223,75.35,85.34,95.34
162,3,Signup,2025-02-28,20250228,75.35,85.34,95.34
163,1,Page View,2025-01-29,20250129,41.9,74.75,54.61
163,2,CTA Click,2025-02-02,20250202,41.9,74.75,54.61
163,3,Signup,2025-02-05,20250205,41.9,74.75,54.61
163,4,First Data Connection,2025-02-11,20250211,41.9,74.75,54.61
163,5,First Dashboard Created,2025-02-14,20250214,41.9,74.75,54.61
163,6,Features Engagement,2025-02-22,20250222,41.9,74.75,54.61
164,1,Page View,2025-01-20,20250120,60.33,22.05,21.94
165,1,Page View,2025-03-08,20250308,43.58,2.9,33.61
165,2,CTA Click,2025-03-11,20250311,43.58,2.9,33.61
166,1,Page View,2025-01-18,20250118,67.91,40.43,16.5
166,2,CTA Click,2025-01-24,20250124,67.91,40.43,16.5
166,3,Signup,2025-01-31,20250131,67.91,40.43,16.5
166,4,First Data Connection,2025-02-03,20250203,67.91,40.43,16.5
166,5,First Dashboard Created,2025-02-10,20250210,67.91,40.43,16.5
166,6,Features Engagement,2025-02-16,20250216,67.91,40.43,16.5
167,1,Page View,2025-03-10,20250310,46.74,12.76,62.23
167,2,CTA Click,2025-03-15,20250315,46.74,12.76,62.23
167,3,Signup,2025-03-19,20250319,46.74,12.76,62.23
167,4,First Data Connection,2025-03-26,20250326,46.74,12.76,62.23
167,5,First Dashboard Created,2025-03-31,20250331,46.74,12.76,62.23
168,1,Page View,2025-03-07,20250307,2.7,39.4,56.44
169,1,Page View,2025-03-18,20250318,2.71,64.27,13.57
170,1,Page View,2025-01-15,20250115,46.17,5.03,37.91
171,1,Page View,2025-01-29,20250129,21.17,32.68,76.12
172,1,Page View,2025-03-21,20250321,37.91,75.2,83.19
173,1,Page View,2025-03-07,20250307,25.23,8.19,1.94
174,1,Page View,2025-03-14,20250314,53.94,99.99,35.0
174,2,CTA Click,2025-03-20,20250320,53.94,99.99,35.0
174,3,Signup,2025-03-25,20250325,53.94,99.99,35.0
175,1,Page View,2025-01-05,20250105,65.01,78.12,65.18
176,1,Page View,2025-03-18,20250318,75.42,94.96,19.94
177,1,Page View,2025-01-06,20250106,2.04,15.24,12.62
177,2,CTA Click,2025-01-07,20250107,2.04,15.24,12.62
177,3,Signup,2025-01-10,20250110,2.04,15.24,12.62
177,4,First Data Connection,2025-01-18,20250118,2.04,15.24,12.62
177,5,First Dashboard Created,2025-01-25,20250125,2.04,15.24,12.62
177,6,Features Engagement,2025-02-01,20250201,2.04,15.24,12.62
178,1,Page View,2025-02-28,20250228,66.95,56.4,21.8
179,1,Page View,2025-01-18,20250118,69.95,76.69,16.78
180,1,Page View,2025-01-17,20250117,60.72,74.79,11.45
181,1,Page View,2025-01-04,20250104,81.93,96.47,10.81
182,1,Page View,2025-01-13,20250113,2.57,31.2,67.73
183,1,Page View,2025-01-01,20250101,95.82,39.67,71.5
183,2,CTA Click,2025-01-05,20250105,95.82,39.67,71.5
184,1,Page View,2025-02-01,20250201,7.6,69.06,62.72
185,1,Page View,2025-03-02,20250302,10.19,77.25,85.03
185,2,CTA Click,2025-03-08,20250308,10.19,77.25,85.03
186,1,Page View,2025-01-08,20250108,60.04,12.11,98.38
187,1,Page View,2025-01-18,20250118,78.26,34.72,42.84
188,1,Page View,2025-01-16,20250116,37.06,50.6,34.12
188,2,CTA Click,2025-01-21,20250121,37.06,50.6,34.12
189,1,Page View,2025-01-22,20250122,84.96,82.23,10.55
190,1,Page View,2025-01-29,20250129,96.08,63.56,82.87
191,1,Page View,2025-02-24,20250224,70.73,43.55,73.38
192,1,Page View,2025-03-06,20250306,96.55,27.01,80.82
193,1,Page View,2025-03-04,20250304,53.82,48.35,43.56
194,1,Page View,2025-01-04,20250104,73.1,26.84,85.17
195,1,Page View,2025-03-19,20250319,83.07,8.67,88.16
196,1,Page View,2025-03-12,20250312,24.39,46.47,61.03
197,1,Page View,2025-03-21,20250321,37.9,2.87,85.1
197,2,CTA Click,2025-03-29,20250329,37.9,2.87,85.1
197,3,Signup,2025-04-04,20250404,37.9,2.87,85.1
197,4,First Data Connection,2025-04-08,20250408,37.9,2.87,85.1
198,1,Page View,2025-01-19,20250119,18.18,21.21,79.78
198,2,CTA Click,2025-01-23,20250123,18.18,21.21,79.78
198,3,Signup,2025-01-24,20250124,18.18,21.21,79.78
199,1,Page View,2025-03-02,20250302,34.03,88.03,70.12
200,1,Page View,2025-03-17,20250317,27.63,1.02,94.81
201,1,Page View,2025-01-20,20250120,8.56,72.01,48.86
201,2,CTA Click,2025-01-26,20250126,8.56,72.01,48.86
202,1,Page View,2025-01-15,20250115,75.82,69.06,64.59
202,2,CTA Click,2025-01-17,20250117,75.82,69.06,64.59
203,1,Page View,2025-01-08,20250108,49.08,79.29,9.31
204,1,Page View,2025-02-24,20250224,22.16,69.18,30.62
204,2,CTA Click,2025-02-26,20250226,22.16,69.18,30.62
205,1,Page View,2025-02-09,20250209,58.16,47.33,53.09
205,2,CTA Click,2025-02-14,20250214,58.16,47.33,53.09
205,3,Signup,2025-02-20,20250220,58.16,47.33,53.09
205,4,First Data Connection,2025-02-25,20250225,58.16,47.33,53.09
206,1,Page View,2025-02-21,20250221,42.55,74.59,33.08
207,1,Page View,2025-01-07,20250107,70.29,27.09,25.14
207,2,CTA Click,2025-01-15,20250115,70.29,27.09,25.14
208,1,Page View,2025-02-18,20250218,12.07,19.26,11.96
209,1,Page View,2025-01-30,20250130,53.59,76.22,18.51
209,2,CTA Click,2025-02-04,20250204,53.59,76.22,18.51
210,1,Page View,2025-03-21,20250321,21.64,48.42,72.46
211,1,Page View,2025-02-21,20250221,97.66,52.46,28.3
212,1,Page View,2025-03-19,20250319,10.05,19.41,22.75
212,2,CTA Click,2025-03-27,20250327,10.05,19.41,22.75
213,1,Page View,2025-03-07,20250307,17.94,1.41,53.41
214,1,Page View,2025-01-02,20250102,27.43,97.43,55.34
215,1,Page View,2025-01-05,20250105,69.74,12.63,86.85
216,1,Page View,2025-02-22,20250222,49.09,87.27,57.41
217,1,Page View,2025-03-14,20250314,46.94,44.05,18.44
218,1,Page View,2025-03-29,20250329,5.14,94.11,47.77
219,1,Page View,2025-01-18,20250118,82.21,40.07,7.41
220,1,Page View,2025-01-19,20250119,62.94,5.36,14.92
220,2,CTA Click,2025-01-21,20250121,62.94,5.36,14.92
221,1,Page View,2025-03-24,20250324,56.28,30.38,99.39
221,2,CTA Click,2025-04-01,20250401,56.28,30.38,99.39
221,3,Signup,2025-04-06,20250406,56.28,30.38,99.39
222,1,Page View,2025-01-07,20250107,11.85,76.44,60.63
223,1,Page View,2025-02-26,20250226,79.07,22.57,52.26
224,1,Page View,2025-03-07,20250307,45.05,44.27,86.02
225,1,Page View,2025-03-02,20250302,99.0,30.54,62.1
226,1,Page View,2025-02-13,20250213,60.96,74.01,94.76
227,1,Page View,2025-03-09,20250309,20.78,21.1,66.04
228,1,Page View,2025-02-05,20250205,15.71,17.38,7.51
229,1,Page View,2025-01-17,20250117,0.27,45.05,59.38
229,2,CTA Click,2025-01-18,20250118,0.27,45.05,59.38
229,3,Signup,2025-01-21,20250121,0.27,45.05,59.38
229,4,First Data Connection,2025-01-28,20250128,0.27,45.05,59.38
229,5,First Dashboard Created,2025-02-01,20250201,0.27,45.05,59.38
229,6,Features Engagement,2025-02-09,20250209,0.27,45.05,59.38
230,1,Page View,2025-02-14,20250214,29.13,23.15,70.7
230,2,CTA Click,2025-02-19,20250219,29.13,23.15,70.7
230,3,Signup,2025-02-26,20250226,29.13,23.15,70.7
231,1,Page View,2025-03-04,20250304,70.3,45.4,68.74
232,1,Page View,2025-03-25,20250325,92.39,78.78,62.51
232,2,CTA Click,2025-04-01,20250401,92.39,78.78,62.51
233,1,Page View,2025-03-28,20250328,66.12,93.37,42.51
234,1,Page View,2025-03-28,20250328,54.46,64.76,90.84
234,2,CTA Click,2025-03-30,20250330,54.46,64.76,90.84
235,1,Page View,2025-02-26,20250226,82.66,7.14,16.59
235,2,CTA Click,2025-03-03,20250303,82.66,7.14,16.59
236,1,Page View,2025-02-22,20250222,30.76,74.9,56.92
237,1,Page View,2025-01-15,20250115,28.86,12.44,68.87
238,1,Page View,2025-03-16,20250316,69.97,94.27,50.05
239,1,Page View,2025-02-18,20250218,49.38,8.04,3.99
240,1,Page View,2025-02-18,20250218,43.2,32.23,25.04
241,1,Page View,2025-03-20,20250320,9.13,96.19,83.6
241,2,CTA Click,2025-03-25,20250325,9.13,96.19,83.6
242,1,Page View,2025-01-16,20250116,57.52,95.08,99.96
243,1,Page View,2025-03-06,20250306,67.23,26.95,4.02
243,2,CTA Click,2025-03-13,20250313,67.23,26.95,4.02
243,3,Signup,2025-03-19,20250319,67.23,26.95,4.02
243,4,First Data Connection,2025-03-23,20250323,67.23,26.95,4.02
243,5,First Dashboard Created,2025-03-25,20250325,67.23,26.95,4.02
244,1,Page View,2025-01-23,20250123,75.63,47.05,65.15
245,1,Page View,2025-03-18,20250318,91.61,18.15,58.53
246,1,Page View,2025-02-14,20250214,63.48,49.17,9.12
247,1,Page View,2025-02-01,20250201,34.8,33.33,67.01
247,2,CTA Click,2025-02-03,20250203,34.8,33.33,67.01
247,3,Signup,2025-02-09,20250209,34.8,33.33,67.01
247,4,First Data Connection,2025-02-17,20250217,34.8,33.33,67.01
247,5,First Dashboard Created,2025-02-22,20250222,34.8,33.33,67.01
247,6,Features Engagement,2025-02-28,20250228,34.8,33.33,67.01
248,1,Page View,2025-02-27,20250227,85.77,32.98,69.37
249,1,Page View,2025-02-06,20250206,28.82,94.52,81.36
250,1,Page View,2025-03-21,20250321,55.01,45.48,31.45
251,1,Page View,2025-02-16,20250216,32.33,97.02,40.42
252,1,Page View,2025-01-14,20250114,51.46,98.81,65.77
253,1,Page View,2025-02-19,20250219,54.26,41.32,18.76
254,1,Page View,2025-01-19,20250119,36.18,75.64,62.54
255,1,Page View,2025-03-21,20250321,76.0,20.36,54.92
256,1,Page View,2025-02-02,20250202,92.77,43.81,69.83
257,1,Page View,2025-02-16,20250216,12.14,97.31,60.89
258,1,Page View,2025-03-04,20250304,23.93,15.84,55.08
259,1,Page View,2025-01-05,20250105,55.23,9.32,99.23
260,1,Page View,2025-01-14,20250114,91.29,46.14,11.75
261,1,Page View,2025-02-25,20250225,83.21,49.84,71.66
262,1,Page View,2025-03-31,20250331,50.89,27.34,83.47
263,1,Page View,2025-02-28,20250228,98.02,24.37,55.13
263,2,CTA Click,2025-03-06,20250306,98.02,24.37,55.13
263,3,Signup,2025-03-07,20250307,98.02,24.37,55.13
263,4,First Data Connection,2025-03-08,20250308,98.02,24.37,55.13
263,5,First Dashboard Created,2025-03-13,20250313,98.02,24.37,55.13
263,6,Features Engagement,2025-03-18,20250318,98.02,24.37,55.13
264,1,Page View,2025-02-28,20250228,38.36,92.19,50.82
264,2,CTA Click,2025-03-03,20250303,38.36,92.19,50.82
265,1,Page View,2025-02-19,20250219,87.93,86.4,27.62
266,1,Page View,2025-02-03,20250203,79.0,41.49,93.42
266,2,CTA Click,2025-02-08,20250208,79.0,41.49,93.42
267,1,Page View,2025-02-07,20250207,50.77,82.05,28.28
268,1,Page View,2025-02-20,20250220,29.86,58.69,99.89
269,1,Page View,2025-03-22,20250322,48.96,14.86,53.86
270,1,Page View,2025-02-16,20250216,34.51,55.19,54.34
271,1,Page View,2025-03-18,20250318,45.53,32.18,18.87
